osmid,x,y,ref,highway
419588021,11.5166524,3.8671464,,nan
419588023,11.5166783,3.8672164,,nan
419588027,11.5168488,3.8671686,,nan
419588054,11.5109904,3.8757315,,nan
419588064,11.5177201,3.8578751,,nan
419588092,11.5145389,3.8901135,,nan
419588095,11.5179302,3.8925105,,nan
419588099,11.522699,3.8928718,,nan
419588102,11.5195748,3.8840739,,nan
419588113,11.5228156,3.8928755,,nan
419588118,11.5237436,3.8978632,,nan
419588130,11.5249713,3.9017832,,nan
419588146,11.5252605,3.9068866,,nan
419588158,11.5225172,3.8891131,,nan
419588164,11.5202915,3.9154744,,nan
419588172,11.5245335,3.8999779,,nan
419588173,11.5236697,3.8980445,,nan
419588175,11.5247816,3.900772,,nan
419588177,11.5248352,3.9017434,,nan
419588179,11.5223688,3.8891616,,nan
419588186,11.5239453,3.8987601,,nan
419588201,11.518828,3.8849928,,nan
419588202,11.5186198,3.8875746,,nan
419588206,11.519374,3.8838162,,nan
419588208,11.5190855,3.8837677,,nan
419588228,11.5194365,3.8845134,,nan
419588254,11.5136874,3.884369,,nan
419601292,11.5312492,3.8729221,,nan
419620497,11.5195403,3.8915993,,nan
420419239,11.5132508,3.8922255,,nan
420419242,11.5132957,3.8939174,,nan
420603717,11.5210427,3.8832948,,nan
420603718,11.5237893,3.8809967,,nan
420603719,11.5243105,3.879205,,nan
420603723,11.5243101,3.8745593,,nan
420603727,11.5170852,3.8732059,,nan
420603728,11.5175349,3.8722716,,nan
420603734,11.5192093,3.870311,,nan
420603742,11.5205923,3.8664572,,nan
420603746,11.5205802,3.8665942,,nan
420603750,11.517401,3.8900512,,nan
420603752,11.5175116,3.889129,,nan
420603755,11.5184406,3.8892229,,nan
420603763,11.5189326,3.8880269,,nan
420603767,11.5167602,3.8913946,,nan
420603808,11.5266723,3.8674729,,nan
420603811,11.530212,3.8750803,,nan
420603829,11.5182925,3.8648023,,nan
420603834,11.5220457,3.8652083,,nan
420603849,11.522846,3.8649582,,nan
420603858,11.5177079,3.8723257,,nan
420603874,11.5191665,3.8715273,,nan
420603876,11.5151183,3.8753269,,nan
420603878,11.5172788,3.8709589,,nan
420603880,11.5162385,3.8733965,,nan
420603882,11.5120063,3.8845299,,nan
420603885,11.5128925,3.8838186,,nan
420603890,11.5221159,3.8885667,,nan
426909046,11.513236,3.8945804,,nan
426909048,11.5131814,3.8951845,,nan
426913406,11.5230029,3.895477,,nan
426913411,11.5216085,3.8970537,,nan
426913417,11.5117869,3.9019762,,nan
426913419,11.5123583,3.9021863,,nan
426913420,11.5123506,3.9008276,,nan
426913422,11.5127805,3.8999758,,nan
426913424,11.5136237,3.8984252,,nan
426913442,11.5077096,3.8966222,,nan
426913444,11.5073714,3.8949571,,nan
426913445,11.5090172,3.8980169,,nan
426913464,11.5132862,3.9055373,,nan
427158961,11.5138879,3.883716,,nan
427158962,11.5161811,3.8853196,,nan
427158991,11.4920738,3.9128959,,nan
427159044,11.5006816,3.9147251,,nan
427159073,11.5156788,3.8505916,,nan
427159078,11.5123992,3.8412856,,nan
427159093,11.5116093,3.8130564,,nan
427159098,11.5106678,3.8127968,,nan
427159101,11.5082632,3.8021652,,nan
427159107,11.5222541,3.8029147,,nan
427159108,11.5221369,3.8015417,,nan
427159113,11.5268818,3.7796328,,nan
427159143,11.5105578,3.8097325,,nan
427171785,11.5228121,3.7912847,,nan
427929388,11.5253819,3.8881899,,nan
427929396,11.5126797,3.9066603,,nan
427929400,11.5186082,3.8953438,,nan
427929401,11.5187245,3.8944405,,nan
427929402,11.517724,3.8935662,,nan
428261197,11.5070361,3.895986,,nan
429690836,11.5118975,3.8656723,,nan
429690849,11.5046737,3.8610304,,nan
429690859,11.5099136,3.862146,,nan
429690862,11.5100192,3.8611768,,nan
429690868,11.5118782,3.8648754,,nan
429690871,11.5127029,3.8663629,,nan
429690884,11.5041849,3.8620375,,nan
429690908,11.5129891,3.8529196,,nan
429690909,11.5131692,3.852878,,nan
429690914,11.5135236,3.8528888,,nan
429690916,11.5053208,3.8613022,,nan
429690919,11.5115092,3.8673882,,nan
429999425,11.5495896,3.8963586,,nan
429999430,11.550453,3.8926702,,nan
442117456,11.491195,3.8967192,,nan
442117466,11.4859739,3.910043,,nan
442117483,11.4887368,3.9104733,,nan
442117500,11.4857941,3.9104073,,nan
442117520,11.4901985,3.9051366,,nan
442117529,11.4912929,3.8989206,,nan
442117531,11.4910604,3.8971638,,nan
442117532,11.4913613,3.8964081,,nan
442117535,11.492819,3.8961225,,nan
442117544,11.5024857,3.8962728,,nan
442530271,11.5135968,3.8632258,,nan
442530273,11.5131789,3.8630072,,nan
442530277,11.5120429,3.8641641,,nan
442530282,11.5175645,3.8578925,,nan
442530284,11.5148141,3.8598428,,nan
442530301,11.5117089,3.8574955,,nan
442530309,11.5117277,3.8540287,,nan
442530312,11.5138552,3.852897,,nan
442530315,11.5130673,3.8526698,,nan
442530318,11.5129836,3.85178,,nan
442530323,11.513804,3.8521581,,nan
442530331,11.5130884,3.8520662,,nan
442530333,11.5132786,3.8519038,,nan
442530365,11.505237,3.8599287,,nan
442530373,11.4986986,3.8524169,,nan
442530384,11.5033563,3.8465611,,nan
442530397,11.5012325,3.8440512,,nan
442530398,11.5011183,3.8443285,,nan
442530410,11.5027745,3.844174,,nan
442530430,11.4987928,3.8520306,,nan
442530444,11.5049218,3.8596825,,nan
442530461,11.5179804,3.8566954,,nan
442530474,11.5123567,3.8677681,,nan
442530480,11.5124094,3.8677578,,nan
442530485,11.5122772,3.8677453,,nan
442530496,11.5122116,3.867602,,nan
442530498,11.5122239,3.8676849,,nan
442530510,11.5124621,3.8675243,,nan
442530512,11.5124922,3.8676725,,nan
442530524,11.505435,3.8727721,,nan
442530528,11.513696,3.8799632,,nan
442890915,11.5015411,3.8953513,,nan
442890925,11.4921784,3.8876638,,nan
442890926,11.4920628,3.8850379,,nan
442890928,11.4920033,3.8864,,nan
442890935,11.4920719,3.8857305,,nan
442890936,11.4920255,3.8871266,,nan
442890938,11.4922144,3.8796316,,nan
442890939,11.4917215,3.875757,,nan
442890940,11.490735,3.8768622,,nan
442890941,11.4919048,3.8753748,,nan
